FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
1 0 0 0.03 0.3 0.029744146726277426
2 0 0 0.03 0.3 0.020315383349177176
3 0 0 0.03 0.3 0.03414218133818337
4 0 0 0.03 0.3 0.056476368357302104
5 0 0 0.03 0.3 0.01716148080024188
6 0 0 0.03 0.3 0.013190961463586257
7 0 0 0.03 0.3 0.013516311940090384
8 0 0 0.03 0.3 0.0017828331048460964
9 0 0 0.03 0.3 0.006340463151528728
10 0 0 0.03 0.3 0.009654039525109204
11 0 0 0.03 0.3 0.004206953647802964
12 0 0 0.03 0.3 0.010564354829711782
13 0 0 0.03 0.3 0.0141824284405441
1 0 0 0.05 0.3 0.024733996158491995
2 0 0 0.05 0.3 0.017259851036129117
3 0 0 0.05 0.3 0.02753188312456817
4 0 0 0.05 0.3 0.05056576165218612
5 0 0 0.05 0.3 0.015582176254576386
6 0 0 0.05 0.3 0.010637047636730259
7 0 0 0.05 0.3 0.01189685865178495
8 0 0 0.05 0.3 0.0014544465177308364
9 0 0 0.05 0.3 0.005112880419514761
10 0 0 0.05 0.3 0.00855502293850631
11 0 0 0.05 0.3 0.0034012326075608034
12 0 0 0.05 0.3 0.008454055985051123
13 0 0 0.05 0.3 0.011436555807022367
1 0 0 0.07 0.3 0.022048625699548127
2 0 0 0.07 0.3 0.01565839186909904
3 0 0 0.07 0.3 0.023316785724195963
4 0 0 0.07 0.3 0.04652313647706844
5 0 0 0.07 0.3 0.01441079587268834
6 0 0 0.07 0.3 0.009008528743258448
7 0 0 0.07 0.3 0.010632158414562352
8 0 0 0.07 0.3 0.00122889921772421
9 0 0 0.07 0.3 0.004330104723889376
10 0 0 0.07 0.3 0.007782574672252573
11 0 0 0.07 0.3 0.003017288505386393
12 0 0 0.07 0.3 0.007261815503619914
13 0 0 0.07 0.3 0.009685633197287232
1 0 0 0.09 0.3 0.01743007100665308
2 0 0 0.09 0.3 0.014304500732676369
3 0 0 0.09 0.3 0.020644553609363455
4 0 0 0.09 0.3 0.043416032276753794
5 0 0 0.09 0.3 0.013490476836333518
6 0 0 0.09 0.3 0.007976101714084081
7 0 0 0.09 0.3 0.009647663477159459
8 0 0 0.09 0.3 0.0010750968619602866
9 0 0 0.09 0.3 0.0038338508645181088
10 0 0 0.09 0.3 0.007229427626798035
11 0 0 0.09 0.3 0.0027157080196479736
12 0 0 0.09 0.3 0.006559643956760148
13 0 0 0.09 0.3 0.008575606266970648
1 1.25 0 0.03 0.3 0.2209743036654233
2 1.25 0 0.03 0.3 0.12312534772397415
3 1.25 0 0.03 0.3 0.4347670726044485
4 1.25 0 0.03 0.3 0.48507598325706075
5 1.25 0 0.03 0.3 0.1742028075222097
6 1.25 0 0.03 0.3 0.12564120054377595
7 1.25 0 0.03 0.3 0.13971346442943547
8 1.25 0 0.03 0.3 0.0074636094551447305
9 1.25 0 0.03 0.3 0.02839775452650292
10 1.25 0 0.03 0.3 0.05065207977523423
11 1.25 0 0.03 0.3 0.02540755013566046
12 1.25 0 0.03 0.3 0.05817515858788559
13 1.25 0 0.03 0.3 0.0706086374998459
1 1.25 0 0.05 0.3 0.1837530465500786
2 1.25 0 0.05 0.3 0.10460669749426442
3 1.25 0 0.05 0.3 0.35059143148447736
4 1.25 0 0.05 0.3 0.4343097346025611
5 1.25 0 0.05 0.3 0.15817159850301837
6 1.25 0 0.05 0.3 0.10131569552450051
7 1.25 0 0.05 0.3 0.12297373317776976
8 1.25 0 0.05 0.3 0.006088859777301081
9 1.25 0 0.05 0.3 0.02289963991695719
10 1.25 0 0.05 0.3 0.044885843198915074
11 1.25 0 0.05 0.3 0.02054146425995794
12 1.25 0 0.05 0.3 0.04655429087425212
13 1.25 0 0.05 0.3 0.05693803614875281
1 1.25 0 0.07 0.3 0.1638029746011468
2 1.25 0 0.07 0.3 0.09490074149937985
3 1.25 0 0.07 0.3 0.29691631508372923
4 1.25 0 0.07 0.3 0.39958759437297586
5 1.25 0 0.07 0.3 0.14628114723156052
6 1.25 0 0.07 0.3 0.08580438731176371
7 1.25 0 0.07 0.3 0.10990096211490269
8 1.25 0 0.07 0.3 0.005144634007465413
9 1.25 0 0.07 0.3 0.01939373324698109
10 1.25 0 0.07 0.3 0.04083302042946582
11 1.25 0 0.07 0.3 0.018222665470629236
12 1.25 0 0.07 0.3 0.03998893215617033
13 1.25 0 0.07 0.3 0.04822089293457354
1 1.25 0 0.09 0.3 0.12949094956324161
2 1.25 0 0.09 0.3 0.08669521989600833
3 1.25 0 0.09 0.3 0.2628880694254469
4 1.25 0 0.09 0.3 0.3729006513401932
