FuelModel WS[m/s] S[deg] DFM[-] LFM[-] ROS[m/s]
1 0 0 0.03 0.3 0.029744146726277426
2 0 0 0.03 0.3 0.020315383349177176
3 0 0 0.03 0.3 0.03414218133818337
4 0 0 0.03 0.3 0.056476368357302104
5 0 0 0.03 0.3 0.01716148080024188
6 0 0 0.03 0.3 0.013190961463586257
7 0 0 0.03 0.3 0.013516311940090384
8 0 0 0.03 0.3 0.0017828331048460964
9 0 0 0.03 0.3 0.006340463151528728
10 0 0 0.03 0.3 0.009654039525109204
11 0 0 0.03 0.3 0.004206953647802964
12 0 0 0.03 0.3 0.010564354829711782
13 0 0 0.03 0.3 0.0141824284405441
1 0 0 0.05 0.3 0.024733996158491995
2 0 0 0.05 0.3 0.017259851036129117
3 0 0 0.05 0.3 0.02753188312456817
4 0 0 0.05 0.3 0.05056576165218612
5 0 0 0.05 0.3 0.015582176254576386
6 0 0 0.05 0.3 0.010637047636730259
7 0 0 0.05 0.3 0.01189685865178495
8 0 0 0.05 0.3 0.0014544465177308364
9 0 0 0.05 0.3 0.005112880419514761
10 0 0 0.05 0.3 0.00855502293850631
11 0 0 0.05 0.3 0.0034012326075608034
12 0 0 0.05 0.3 0.008454055985051123
13 0 0 0.05 0.3 0.011436555807022367
1 0 0 0.07 0.3 0.022048625699548127
2 0 0 0.07 0.3 0.01565839186909904
3 0 0 0.07 0.3 0.023316785724195963
4 0 0 0.07 0.3 0.04652313647706844
5 0 0 0.07 0.3 0.01441079587268834
6 0 0 0.07 0.3 0.009008528743258448
7 0 0 0.07 0.3 0.010632158414562352
8 0 0 0.07 0.3 0.00122889921772421
9 0 0 0.07 0.3 0.004330104723889376
10 0 0 0.07 0.3 0.007782574672252573
11 0 0 0.07 0.3 0.003017288505386393
12 0 0 0.07 0.3 0.007261815503619914
13 0 0 0.07 0.3 0.009685633197287232
1 0 0 0.09 0.3 0.01743007100665308
2 0 0 0.09 0.3 0.014304500732676369
3 0 0 0.09 0.3 0.020644553609363455
4 0 0 0.09 0.3 0.043416032276753794
5 0 0 0.09 0.3 0.013490476836333518
6 0 0 0.09 0.3 0.007976101714084081
7 0 0 0.09 0.3 0.009647663477159459
8 0 0 0.09 0.3 0.0010750968619602866
9 0 0 0.09 0.3 0.0038338508645181088
10 0 0 0.09 0.3 0.007229427626798035
11 0 0 0.09 0.3 0.0027157080196479736
12 0 0 0.09 0.3 0.006559643956760148
13 0 0 0.09 0.3 0.008575606266970648
1 0 5 0.03 0.3 0.03911175802477695
2 0 5 0.03 0.3 0.024170616936962513
3 0 5 0.03 0.3 0.04343998911696453
4 0 5 0.03 0.3 0.06858011473959427
5 0 5 0.03 0.3 0.02133485201982389
6 0 5 0.03 0.3 0.01610876973860799
7 0 5 0.03 0.3 0.01669931330884138
8 0 5 0.03 0.3 0.0019780747056058544
9 0 5 0.03 0.3 0.007114684261942052
10 0 5 0.03 0.3 0.010971684382302695
11 0 5 0.03 0.3 0.0047885237172772144
12 0 5 0.03 0.3 0.011912880675281817
13 0 5 0.03 0.3 0.01586008188114371
1 0 5 0.05 0.3 0.03252371236731636
2 0 5 0.05 0.3 0.020535238770190832
3 0 5 0.05 0.3 0.035029534037511384
4 0 5 0.05 0.3 0.06140277494584212
5 0 5 0.05 0.3 0.019371488300328685
6 0 5 0.05 0.3 0.01298993644638446
7 0 5 0.05 0.3 0.014698489565625451
8 0 5 0.05 0.3 0.0016137258499180954
9 0 5 0.05 0.3 0.005737203889457621
10 0 5 0.05 0.3 0.009722667005922503
11 0 5 0.05 0.3 0.003871419647750857
12 0 5 0.05 0.3 0.009533204989368363
13 0 5 0.05 0.3 0.012789397267051231
1 0 5 0.07 0.3 0.028992612263365202
2 0 5 0.07 0.3 0.018629872014311287
3 0 5 0.07 0.3 0.029666555515856785
4 0 5 0.07 0.3 0.05649375359013561
5 0 5 0.07 0.3 0.017915248748660507
6 0 5 0.07 0.3 0.011001193173778618
7 0 5 0.07 0.3 0.013135960852411617
8 0 5 0.07 0.3 0.0013634784162979328
9 0 5 0.07 0.3 0.004858845039449339
10 0 5 0.07 0.3 0.008844790076068412
11 0 5 0.07 0.3 0.003434399040135885
12 0 5 0.07 0.3 0.008188776595919746
13 0 5 0.07 0.3 0.010831356295833773
1 0 5 0.09 0.3 0.02291949155040412
2 0 5 0.09 0.3 0.017019054070570805
3 0 5 0.09 0.3 0.026266604796934618
4 0 5 0.09 0.3 0.05272074961053566
5 0 5 0.09 0.3 0.01677112425962572
6 0 5 0.09 0.3 0.009740395821682993
7 0 5 0.09 0.3 0.011919623919413225
