fuel_name,fgi_1hr,fgi_10hr,fgi_100hr,fgi_live_herb,fgi_live_woody,fuel_model_type,dead_1_hr,dead_10_hr,dead_100_hr,savr_live_herb,savr_live_woody,fuel_bed_depth(m),fz0,dead_fuel_extinction_moisture_%,Heat_Content_BTU/lb
GR1,0.0224,0,0,0.0673,0,dynamic,7217.8478,357.6115,98.4252,6561.6798,32805.1181,0.1219,0.0158,15,8000
GR2,0.0224,0,0,0.2242,0,dynamic,6561.6798,357.6115,98.4252,5905.5118,32805.1181,0.3048,0.0396,15,8000
GR3,0.0224,0.0897,0,0.3363,0,dynamic,4921.2598,357.6115,98.4252,4265.0919,32805.1181,0.6096,0.0792,30,8000
GR4,0.0561,0,0,0.426,0,dynamic,6561.6798,357.6115,98.4252,5905.5118,32805.1181,0.6096,0.0792,15,8000
GR5,0.0897,0,0,0.5605,0,dynamic,5905.5118,357.6115,98.4252,5249.3438,32805.1181,0.4572,0.0594,40,8000
GR6,0.0224,0,0,0.7623,0,dynamic,7217.8478,357.6115,98.4252,6561.6798,32805.1181,0.4572,0.0594,40,9000
GR7,0.2242,0,0,1.2108,0,dynamic,6561.6798,357.6115,98.4252,5905.5118,32805.1181,0.9144,0.1189,15,8000
GR8,0.1121,0.2242,0,1.6368,0,dynamic,4921.2598,357.6115,98.4252,4265.0919,32805.1181,1.2192,0.1585,30,8000
GR9,0.2242,0.2242,0,2.0179,0,dynamic,5905.5118,357.6115,98.4252,5249.3438,32805.1181,1.524,0.1981,40,8000
GS1,0.0448,0,0,0.1121,0.1457,dynamic,6561.6798,357.6115,98.4252,5905.5118,5905.5118,0.2743,0.0357,15,8000
GS2,0.1121,0.1121,0,0.1345,0.2242,dynamic,6561.6798,357.6115,98.4252,5905.5118,5905.5118,0.4572,0.0594,15,8000
GS3,0.0673,0.0561,0,0.3251,0.2803,dynamic,5905.5118,357.6115,98.4252,5249.3438,5249.3438,0.5486,0.0713,40,8000
GS4,0.426,0.0673,0.0224,0.7623,1.5919,dynamic,5905.5118,357.6115,98.4252,5249.3438,5249.3438,0.6401,0.0832,40,8000
SH1,0.0561,0.0561,0,0.0336,0.2915,dynamic,6561.6798,357.6115,98.4252,5905.5118,5249.3438,0.3048,0.0396,15,8000
SH2,0.3027,0.5381,0.1682,0,0.8632,N/A,6561.6798,357.6115,98.4252,32805.1181,5249.3438,0.3048,0.0396,15,8000
SH3,0.1009,0.6726,0,0,1.3901,N/A,5249.3438,357.6115,98.4252,32805.1181,4593.1759,0.7315,0.0951,40,8000
SH4,0.1906,0.2578,0.0448,0,0.5717,N/A,6561.6798,357.6115,98.4252,5905.5118,5249.3438,0.9144,0.1189,30,8000
SH5,0.8072,0.4709,0,0,0.6502,N/A,2460.6299,357.6115,98.4252,32805.1181,5249.3438,1.8288,0.2377,15,8000
SH6,0.6502,0.3251,0,0,0.3139,N/A,2460.6299,357.6115,98.4252,32805.1181,5249.3438,0.6096,0.0792,30,8000
SH7,0.7848,1.1883,0.4933,0,0.7623,N/A,2460.6299,357.6115,98.4252,32805.1181,5249.3438,1.8288,0.2377,15,8000
SH8,0.4596,0.7623,0.1906,0,0.9753,N/A,2460.6299,357.6115,98.4252,32805.1181,5249.3438,0.9144,0.1189,40,8000
SH9,1.009,0.5493,0,0.3475,1.5695,dynamic,2460.6299,357.6115,98.4252,5905.5118,4921.2598,1.3411,0.1743,40,8000
TU1,0.0448,0.2018,0.3363,0.0448,0.2018,dynamic,6561.6798,357.6115,98.4252,5905.5118,5249.3438,0.1829,0.0238,20,8000
TU2,0.213,0.4036,0.2803,0,0.0448,N/A,6561.6798,357.6115,98.4252,32805.1181,5249.3438,0.3048,0.0396,30,8000
TU3,0.2466,0.0336,0.0561,0.1457,0.2466,dynamic,5905.5118,357.6115,98.4252,5249.3438,4593.1759,0.3962,0.0515,30,8000
TU4,1.009,0,0,0,0.4484,N/A,7545.9318,357.6115,98.4252,32805.1181,6561.6798,0.1524,0.0198,12,8000
TU5,0.8969,0.8969,0.6726,0,0.6726,N/A,4921.2598,357.6115,98.4252,32805.1181,2460.6299,0.3048,0.0396,25,8000
TL1,0.2242,0.4933,0.8072,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.061,0.0079,30,8000
TL2,0.3139,0.5157,0.4933,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.061,0.0079,25,8000
TL3,0.1121,0.4933,0.6278,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.0914,0.0119,20,8000
TL4,0.1121,0.3363,0.9417,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.1219,0.0158,25,8000
TL5,0.2578,0.5605,0.9865,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,5249.3438,0.1829,0.0238,25,8000
TL6,0.5381,0.2691,0.2691,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.0914,0.0119,25,8000
TL7,0.0673,0.3139,1.8161,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.1219,0.0158,25,8000
TL8,1.3004,0.3139,0.2466,0,0,N/A,5905.5118,357.6115,98.4252,32805.1181,32805.1181,0.0914,0.0119,35,8000
TL9,1.491,0.7399,0.9305,0,0,N/A,5905.5118,357.6115,98.4252,32805.1181,5249.3438,0.1829,0.0238,35,8000
SB1,0.3363,0.6726,2.4664,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.3048,0.0396,25,8000
SB2,1.009,0.9529,0.8969,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.3048,0.0396,25,8000
SB3,1.2332,0.6166,0.6726,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.3658,0.0475,25,8000
SB4,1.1771,0.7848,1.1771,0,0,N/A,6561.6798,357.6115,98.4252,32805.1181,32805.1181,0.823,0.107,25,8000
