GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GS1,GS2,GS3,GS4,SH1,SH2,SH3,SH4,SH5,SH6,SH7,SH8,SH9,TU1,TU2,TU3,TU4,TU5,TL1,TL2,TL3,TL4,TL5,TL6,TL7,TL8,TL9,SB1,SB2,SB3,SB4
0.02,0.02,0.02,0.06,0.10,0.02,0.25,0.12,0.25,0.05,0.12,0.07,0.47,0.06,0.33,0.11,0.21,0.89,0.72,0.86,0.51,1.11,0.05,0.23,0.27,1.11,0.99,0.25,0.35,0.12,0.12,0.28,0.59,0.07,1.43,1.64,0.37,1.11,1.36,1.30
0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.12,0.06,0.07,0.06,0.59,0.74,0.28,0.52,0.36,1.31,0.84,0.61,0.22,0.44,0.04,0.00,0.99,0.54,0.57,0.54,0.37,0.62,0.30,0.35,0.35,0.82,0.74,1.05,0.68,0.86
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.19,0.00,0.05,0.00,0.00,0.54,0.21,0.00,0.37,0.31,0.06,0.00,0.74,0.89,0.54,0.69,1.04,1.09,0.30,2.00,0.27,1.03,2.72,0.99,0.74,1.30
0.07,0.25,0.37,0.47,0.62,0.84,1.33,1.80,2.22,0.12,0.15,0.36,0.84,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.05,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.25,0.31,1.75,0.32,0.95,1.53,0.63,0.72,0.35,0.84,1.07,1.73,0.22,0.05,0.27,0.49,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dynamic,dynamic,N/A,dynamic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7217.85,6561.68,4921.26,6561.68,5905.51,7217.85,6561.68,4921.26,5905.51,6561.68,6561.68,5905.51,5905.51,6561.68,6561.68,5249.34,6561.68,2460.63,2460.63,2460.63,2460.63,2460.63,6561.68,6561.68,5905.51,7545.93,4921.26,6561.68,6561.68,6561.68,6561.68,6561.68,6561.68,6561.68,5905.51,5905.51,6561.68,6561.68,6561.68,6561.68
6561.68,5905.51,4265.09,5905.51,5249.34,6561.68,5905.51,4265.09,5249.34,5905.51,5905.51,5249.34,5249.34,5905.51,32805.12,32805.12,5905.51,32805.12,32805.12,32805.12,32805.12,5905.51,5905.51,32805.12,5249.34,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12
32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,5905.51,5905.51,5249.34,5249.34,5249.34,5249.34,4593.18,5249.34,5249.34,5249.34,5249.34,5249.34,4921.26,5249.34,5249.34,4593.18,6561.68,2460.63,32805.12,32805.12,32805.12,32805.12,5249.34,32805.12,32805.12,32805.12,5249.34,32805.12,32805.12,32805.12,32805.12
0.12,0.30,0.61,0.61,0.46,0.46,0.91,1.22,1.52,0.27,0.46,0.55,0.64,0.30,0.30,0.73,0.91,1.83,0.61,1.83,0.91,1.34,0.18,0.30,0.40,0.15,0.30,0.06,0.06,0.09,0.12,0.18,0.09,0.12,0.09,0.18,0.30,0.30,0.37,0.82
15.00,15.00,30.00,15.00,40.00,40.00,15.00,30.00,40.00,15.00,15.00,40.00,40.00,15.00,15.00,40.00,30.00,15.00,30.00,15.00,40.00,40.00,20.00,30.00,30.00,12.00,25.00,30.00,25.00,20.00,25.00,25.00,25.00,25.00,35.00,35.00,25.00,25.00,25.00,25.00
8000.00,8000.00,8000.00,8000.00,8000.00,9000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00
