GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GS1,GS2,GS3,GS4,SH1,SH2,SH3,SH4,SH5,SH6,SH7,SH8,SH9,TU1,TU2,TU3,TU4,TU5,TL1,TL2,TL3,TL4,TL5,TL6,TL7,TL8,TL9,SB1,SB2,SB3,SB4
0.02,0.02,0.02,0.06,0.1,0.02,0.25,0.12,0.25,0.05,0.12,0.07,0.47,0.06,0.33,0.11,0.21,0.89,0.72,0.86,0.51,1.11,0.05,0.23,0.27,1.11,0.99,0.25,0.35,0.12,0.12,0.28,0.59,0.07,1.43,1.64,0.37,1.11,1.36,1.3
0,0,0.1,0,0,0,0,0.25,0.25,0,0.12,0.06,0.07,0.06,0.59,0.74,0.28,0.52,0.36,1.31,0.84,0.61,0.22,0.44,0.04,0,0.99,0.54,0.57,0.54,0.37,0.62,0.3,0.35,0.35,0.82,0.74,1.05,0.68,0.86
0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.19,0,0.05,0,0,0.54,0.21,0,0.37,0.31,0.06,0,0.74,0.89,0.54,0.69,1.04,1.09,0.3,2,0.27,1.03,2.72,0.99,0.74,1.3
0.07,0.25,0.37,0.47,0.62,0.84,1.33,1.8,2.22,0.12,0.15,0.36,0.84,0.04,0,0,0,0,0,0,0,0.38,0.05,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.16,0.25,0.31,1.75,0.32,0.95,1.53,0.63,0.72,0.35,0.84,1.07,1.73,0.22,0.05,0.27,0.49,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0
dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,dynamic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dynamic,dynamic,N/A,dynamic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7217.85,6561.68,4921.26,6561.68,5905.51,7217.85,6561.68,4921.26,5905.51,6561.68,6561.68,5905.51,5905.51,6561.68,6561.68,5249.34,6561.68,2460.63,2460.63,2460.63,2460.63,2460.63,6561.68,6561.68,5905.51,7545.93,4921.26,6561.68,6561.68,6561.68,6561.68,6561.68,6561.68,6561.68,5905.51,5905.51,6561.68,6561.68,6561.68,6561.68
6561.68,5905.51,4265.09,5905.51,5249.34,6561.68,5905.51,4265.09,5249.34,5905.51,5905.51,5249.34,5249.34,5905.51,32805.12,32805.12,5905.51,32805.12,32805.12,32805.12,32805.12,5905.51,5905.51,32805.12,5249.34,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12
32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,32805.12,5905.51,5905.51,5249.34,5249.34,5249.34,5249.34,4593.18,5249.34,5249.34,5249.34,5249.34,5249.34,4921.26,5249.34,5249.34,4593.18,6561.68,2460.63,32805.12,32805.12,32805.12,32805.12,5249.34,32805.12,32805.12,32805.12,5249.34,32805.12,32805.12,32805.12,32805.12
0.12,0.3,0.61,0.61,0.46,0.46,0.91,1.22,1.52,0.27,0.46,0.55,0.64,0.3,0.3,0.73,0.91,1.83,0.61,1.83,0.91,1.34,0.18,0.3,0.4,0.15,0.3,0.06,0.06,0.09,0.12,0.18,0.09,0.12,0.09,0.18,0.3,0.3,0.37,0.82
15,15,30,15,40,40,15,30,40,15,15,40,40,15,15,40,30,15,30,15,40,40,20,30,30,12,25,30,25,20,25,25,25,25,35,35,25,25,25,25
8000,8000,8000,8000,8000,9000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,1820,1290,1826,1631,2006,1834,1302,1612,1832,1827,1614,1674,1674,1672,1371,1682,1252,1144,1233,1386,1378,1606,1767,1611,2216,1224,1716,1806,1532,1568,1713,1936,1229,1770,1733,1653,1884,1935,1907
6738.845144,5971.128609,4232.283465,5990.813648,5351.049869,6581.364829,6017.060367,4271.653543,5288.713911,6010.498688,5994.094488,5295.275591,5492.125984,5492.125984,5485.564304,4498.031496,5518.372703,4107.611549,3753.28084,4045.275591,4547.244094,4520.997375,5269.028871,5797.244094,5285.433071,7270.341207,4015.748031,5629.92126,5925.19685,5026.246719,5144.356955,5620.07874,6351.706037,4032.152231,5807.086614,5685.695538,5423.228346,6181.102362,6348.425197,6256.56168
